From,To,AMCS
EMO,EMO,0.7194444444444444
EMO,SPF,0.3407407407407407
EMO,STR,0.1695473251028804
EMO,CSF,0.596078431372549
SPF,EMO,0.0407407407407407
SPF,SPF,0.1777777777777777
SPF,STR,0.0831275720164609
SPF,CSF,0.0505446623093681
STR,EMO,0.3416666666666667
STR,SPF,0.6018518518518519
STR,STR,0.8999999999999984
STR,CSF,0.4261437908496732
CSF,EMO,0.3046296296296296
CSF,SPF,0.2425925925925925
CSF,STR,0.2069958847736626
CSF,CSF,0.4736383442265792
