From,To,AMCS
EMO,EMO,0.5136054421768701
EMO,SPF,0.3386243386243381
EMO,CSF,0.2264957264957271
EMO,STR,0.2367724867724869
SPF,EMO,0.2273242630385488
SPF,SPF,0.483245149911816
SPF,CSF,0.315018315018315
SPF,STR,0.142195767195767
CSF,EMO,0.319160997732427
CSF,SPF,0.3822751322751331
CSF,CSF,0.6990231990232003
CSF,STR,0.0584215167548499
STR,EMO,0.4297052154195008
STR,SPF,0.3165784832451498
STR,CSF,0.1935286935286936
STR,STR,0.884259259259261
